age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name,industry
51,0,Month-to-month,,TEL_3787-TRIAL,Yes,No,,Male,DSL,,26.05,No phone service,No,No,Yes,Yes,Electronic check,No,,,,,0,No,No,,No,21,565.75,,,,Telecom
69,0,Month-to-month,,TEL_2573-GYRUU,No,Yes,,Male,Fiber optic,,91.05,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,No,,No,48,4370.75,,,,Telecom
51,0,Month-to-month,,TEL_5156-UMKOW,Yes,No,,Female,DSL,,29.65,No phone service,Yes,No,No,No,Mailed check,No,,,,,0,No,No,,No,3,90.05,,,,Telecom
31,0,Month-to-month,,TEL_1247-QBVSH,Yes,No,,Female,DSL,,50.2,No,Yes,No,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,43,2169.4,,,,Telecom
20,0,Month-to-month,,TEL_6734-GMPVK,No,Yes,,Male,Fiber optic,,105.3,Yes,Yes,No,No,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,5,550.6,,,,Telecom
69,0,Month-to-month,,TEL_9822-OAOVB,No,No,,Female,DSL,,55.45,No,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,1,55.45,,,,Telecom
21,0,One year,,TEL_6161-ERDGD,Yes,Yes,,Male,DSL,,85.45,Yes,No,Yes,No,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,71,6300.85,,,,Telecom
24,0,One year,,TEL_1226-JZNKR,Yes,No internet service,,Female,No,,19.8,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,8,160.05,,,,Telecom
32,0,Month-to-month,,TEL_7318-EIVKO,No,No,,Male,DSL,,59.25,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,8,436.6,,,,Telecom
70,0,Month-to-month,,TEL_3771-PZOBW,No,Yes,,Male,Fiber optic,,90.7,Yes,No,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,No,20,1781.35,,,,Telecom
26,1,One year,,TEL_5136-KCKGI,Yes,Yes,,Female,Fiber optic,,103.7,Yes,No,Yes,Yes,Yes,Mailed check,Yes,,,,,0,Yes,Yes,,No,33,3467,,,,Telecom
32,0,One year,,TEL_8231-BSWXX,No,No,,Male,Fiber optic,,79.05,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,No,,No,71,5552.5,,,,Telecom
22,0,One year,,TEL_6486-LHTMA,No,Yes,,Female,Fiber optic,,90.7,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,1,No,Yes,,No,31,2835.5,,,,Telecom
61,0,One year,,TEL_4083-BFNYK,No,No,,Female,Fiber optic,,95.0,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,1,Yes,No,,No,38,3591.25,,,,Telecom
56,1,Month-to-month,,TEL_3722-WPXTK,No,No,,Male,Fiber optic,,88.35,No,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,1,88.35,,,,Telecom
24,0,Month-to-month,,TEL_7389-KBFIT,Yes,No,,Female,DSL,,30.25,No phone service,Yes,No,Yes,Yes,Mailed check,No,,,,,0,No,No,,No,2,63.75,,,,Telecom
37,0,Month-to-month,,TEL_7176-WIONM,No,Yes,,Female,DSL,,49.85,No phone service,No,No,Yes,Yes,Bank transfer (automatic),No,,,,,0,Yes,Yes,,No,12,617.15,,,,Telecom
43,0,Month-to-month,,TEL_5141-ZUVBH,Yes,Yes,,Female,Fiber optic,,93.0,No,No,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,Yes,No,,Yes,9,870.25,,,,Telecom
24,0,Month-to-month,,TEL_1089-HDMKP,Yes,No,,Male,DSL,,54.55,No,Yes,No,Yes,No,Electronic check,Yes,,,,,1,No,No,,Yes,11,601.25,,,,Telecom
35,0,Month-to-month,,TEL_7623-HKYRK,Yes,No internet service,,Male,No,,19.7,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,6,111.65,,,,Telecom
59,0,One year,,TEL_0310-SUCIN,No,Yes,,Female,DSL,,84.8,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,71,6046.1,,,,Telecom
67,0,One year,,TEL_5197-PYEPU,Yes,No,,Female,Fiber optic,,94.45,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,Yes,,No,42,3923.8,,,,Telecom
49,1,Month-to-month,,TEL_2929-ERCFZ,Yes,Yes,,Female,Fiber optic,,94.2,No,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,8,777.3,,,,Telecom
58,1,Month-to-month,,TEL_7548-SEPYI,No,No,,Female,Fiber optic,,96.25,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,5,512.45,,,,Telecom
39,1,Month-to-month,,TEL_8835-VSDSE,No,No,,Female,Fiber optic,,70.7,No,No,No,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,No,2,141.45,,,,Telecom
68,0,Two year,,TEL_6619-RPLQZ,Yes,No internet service,,Female,No,,20.85,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,45,892.15,,,,Telecom
27,0,One year,,TEL_3275-RHRNE,Yes,Yes,,Male,DSL,,60.0,No phone service,Yes,No,Yes,Yes,Credit card (automatic),No,,,,,0,Yes,Yes,,Yes,28,1682.05,,,,Telecom
42,0,Month-to-month,,TEL_3503-TYDAY,No,No,,Female,Fiber optic,,80.45,Yes,Yes,No,No,Yes,Electronic check,Yes,,,,,0,No,No,,No,43,3398.9,,,,Telecom
40,0,Two year,,TEL_6901-GOGZG,Yes,Yes,,Male,DSL,,84.95,Yes,No,Yes,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,60,4984.85,,,,Telecom
41,1,One year,,TEL_1623-NLDOT,No,No,,Female,DSL,,33.55,No phone service,Yes,No,No,Yes,Mailed check,No,,,,,0,No,No,,Yes,42,1445.3,,,,Telecom
57,0,Two year,,TEL_7021-XSNYE,Yes,Yes,,Male,DSL,,49.65,No phone service,No,Yes,No,Yes,Credit card (automatic),No,,,,,0,Yes,No,,Yes,7,305.55,,,,Telecom
58,0,One year,,TEL_9621-OUPYD,No,No internet service,,Female,No,,20.2,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,25,507.9,,,,Telecom
60,1,Month-to-month,,TEL_9898-KZQDZ,Yes,No,,Female,Fiber optic,,94.55,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,40,3640.45,,,,Telecom
31,0,One year,,TEL_8982-NHAVY,No,Yes,,Male,Fiber optic,,100.5,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,27,2673.45,,,,Telecom
30,0,Month-to-month,,TEL_4307-KWMXE,No,No,,Male,DSL,,35.75,No phone service,Yes,No,No,No,Electronic check,No,,,,,0,No,No,,Yes,10,389.8,,,,Telecom
62,0,Month-to-month,,TEL_0141-YEAYS,No,Yes,,Female,Fiber optic,,86.45,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,1,No,No,,No,27,2401.05,,,,Telecom
46,0,One year,,TEL_2450-ZKEED,No,Yes,,Female,DSL,,53.8,No,No,No,No,No,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,11,651.55,,,,Telecom
34,0,Month-to-month,,TEL_3694-DELSO,Yes,No,,Male,DSL,,38.55,No phone service,No,Yes,No,Yes,Credit card (automatic),No,,,,,0,No,Yes,,No,4,156.1,,,,Telecom
57,0,Month-to-month,,TEL_3893-JRNFS,No,Yes,,Male,DSL,,39.9,No phone service,No,No,Yes,No,Bank transfer (automatic),No,,,,,0,Yes,No,,No,68,2796.35,,,,Telecom
45,0,Month-to-month,,TEL_9603-OAIHC,No,No,,Male,Fiber optic,,70.05,No,No,No,Yes,No,Electronic check,Yes,,,,,1,No,No,,No,1,70.05,,,,Telecom
51,0,One year,,TEL_1133-KXCGE,No,No internet service,,Female,No,,20.1,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,18,407.05,,,,Telecom
59,1,Two year,,TEL_5236-PERKL,No,Yes,,Female,Fiber optic,,112.95,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,57,6465,,,,Telecom
70,0,Month-to-month,,TEL_0142-GVYSN,No,No internet service,,Male,No,,20.3,No,No internet service,No internet service,Yes,No,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,26,511.25,,,,Telecom
24,0,Month-to-month,,TEL_1049-FYSYG,No,Yes,,Female,DSL,,35.65,No phone service,Yes,No,Yes,Yes,Credit card (automatic),No,,,,,0,No,No,,No,17,646.05,,,,Telecom
29,1,Month-to-month,,TEL_7854-FOKSF,No,No,,Male,DSL,,35.9,No phone service,No,No,No,No,Electronic check,No,,,,,0,Yes,No,,No,1,35.9,,,,Telecom
62,1,Month-to-month,,TEL_2519-FAKOD,Yes,Yes,,Male,Fiber optic,,99.25,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,38,3777.15,,,,Telecom
67,0,One year,,TEL_8406-LNMHF,No,Yes,,Male,Fiber optic,,82.95,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,No,,No,59,4903.15,,,,Telecom
59,0,Two year,,TEL_1821-BUCWY,No,Yes,,Male,DSL,,55.65,No,No,Yes,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,30,1653.85,,,,Telecom
51,1,Month-to-month,,TEL_8263-JQAIK,No,No,,Male,DSL,,24.45,No phone service,No,No,Yes,No,Mailed check,No,,,,,1,No,No,,No,2,47.5,,,,Telecom
61,0,One year,,TEL_0023-UYUPN,No,No internet service,,Female,No,,25.2,Yes,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,1,No internet service,No internet service,,No internet service,50,1306.3,,,,Telecom
46,0,One year,,TEL_8314-DPQHL,No,Yes,,Male,DSL,,50.8,No phone service,No,Yes,No,No,Mailed check,No,,,,,0,Yes,No,,Yes,9,463.6,,,,Telecom
59,0,Month-to-month,,TEL_1465-WCZVT,Yes,No internet service,,Female,No,,19.65,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,3,60.65,,,,Telecom
42,0,Month-to-month,,TEL_9481-SFCQY,Yes,Yes,,Female,DSL,,59.8,No,No,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,No,14,824.85,,,,Telecom
42,0,Month-to-month,,TEL_6360-SVNWV,No,No,,Female,Fiber optic,,73.55,No,No,Yes,Yes,No,Credit card (automatic),Yes,,,,,1,No,No,,No,31,2094.65,,,,Telecom
49,0,Month-to-month,,TEL_0567-GGCAC,No,Yes,,Female,DSL,,61.4,No,Yes,Yes,No,No,Electronic check,Yes,,,,,0,No,No,,No,7,438.9,,,,Telecom
70,1,Month-to-month,,TEL_7089-IVVAZ,No,No,,Female,Fiber optic,,103.35,Yes,No,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,8,847.3,,,,Telecom
36,0,One year,,TEL_8884-MRNSU,Yes,No internet service,,Male,No,,19.9,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,17,329.75,,,,Telecom
58,0,Month-to-month,,TEL_2171-UDMFD,Yes,No internet service,,Male,No,,19.45,No,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,32,674.55,,,,Telecom
64,0,Month-to-month,,TEL_9050-IKDZA,No,No,,Female,Fiber optic,,81.5,No,No,No,No,No,Mailed check,Yes,,,,,1,No,Yes,,No,2,162.55,,,,Telecom
21,1,Month-to-month,,TEL_2205-YMZZJ,No,No,,Male,Fiber optic,,84.8,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,No,Yes,,No,7,546.95,,,,Telecom
48,0,Two year,,TEL_9802-CAQUT,Yes,Yes,,Female,Fiber optic,,109.55,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,72,7887.25,,,,Telecom
59,1,Month-to-month,,TEL_1254-IZEYF,No,No,,Female,Fiber optic,,99.95,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,31,3186.65,,,,Telecom
22,0,Month-to-month,,TEL_0187-WZNAB,Yes,No,,Female,Fiber optic,,74.4,No,No,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,27,1972.35,,,,Telecom
45,1,Month-to-month,,TEL_9492-TOKRI,No,No,,Female,Fiber optic,,90.0,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,No,18,1527.35,,,,Telecom
40,0,Month-to-month,,TEL_1475-VWVDO,No,Yes,,Male,Fiber optic,,74.9,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,7,490.55,,,,Telecom
53,1,Month-to-month,,TEL_9221-OTIVJ,No,Yes,,Female,Fiber optic,,104.85,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,14,1531.4,,,,Telecom
26,0,Month-to-month,,TEL_1357-MVDOZ,Yes,Yes,,Male,DSL,,59.65,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,Yes,,No,11,683.25,,,,Telecom
57,0,Two year,,TEL_7602-MVRMB,Yes,Yes,,Female,Fiber optic,,110.45,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,72,8058.85,,,,Telecom
36,1,One year,,TEL_3325-FUYCG,Yes,No,,Male,Fiber optic,,106.1,Yes,Yes,Yes,No,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,28,2847.4,,,,Telecom
34,1,Month-to-month,,TEL_5908-QMGOE,No,No,,Male,Fiber optic,,74.2,Yes,No,No,Yes,No,Credit card (automatic),Yes,,,,,1,No,No,,No,15,1133.9,,,,Telecom
34,0,Month-to-month,,TEL_1197-BVMVG,No,No,,Female,Fiber optic,,74.45,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,No,No,,No,4,294.45,,,,Telecom
69,0,Two year,,TEL_5406-KGRMX,No,No internet service,,Female,No,,24.55,Yes,No internet service,No internet service,No,No,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,71,1719.15,,,,Telecom
32,1,Month-to-month,,TEL_8481-YYXWG,No,No,,Female,Fiber optic,,89.35,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,Yes,5,461.7,,,,Telecom
54,0,Two year,,TEL_5968-HYJRZ,Yes,No internet service,,Male,No,,24.55,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,47,1160.45,,,,Telecom
23,0,One year,,TEL_5198-EFNBM,No,Yes,,Male,Fiber optic,,90.65,No,Yes,No,Yes,Yes,Electronic check,Yes,,,,,1,No,Yes,,No,57,5199.8,,,,Telecom
22,0,Two year,,TEL_7516-GMHUV,No,Yes,,Male,Fiber optic,,105.05,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,50,5163.3,,,,Telecom
42,0,Month-to-month,,TEL_7140-ADSMJ,No,No internet service,,Male,No,,20.45,No,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,8,162.3,,,,Telecom
35,0,Two year,,TEL_2230-XTUWL,Yes,No internet service,,Female,No,,19.55,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,48,883.35,,,,Telecom
62,0,One year,,TEL_7706-YLMQA,No,No internet service,,Female,No,,19.7,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,70,1341.5,,,,Telecom
22,0,Month-to-month,,TEL_2585-KTFRE,Yes,No,,Male,DSL,,70.45,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,No,,Yes,1,70.45,,,,Telecom
66,0,Month-to-month,,TEL_7994-UYIVZ,No,No,,Male,Fiber optic,,85.65,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,No,,No,8,659.45,,,,Telecom
51,1,Month-to-month,,TEL_2609-IAICY,No,No,,Female,Fiber optic,,77.15,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,1,77.15,,,,Telecom
47,1,Month-to-month,,TEL_1740-CSDJP,No,No,,Male,DSL,,35.25,No phone service,No,No,Yes,No,Bank transfer (automatic),No,,,,,0,Yes,No,,No,1,35.25,,,,Telecom
42,0,Two year,,TEL_7717-BICXI,Yes,No internet service,,Male,No,,20.55,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,60,1205.05,,,,Telecom
62,0,One year,,TEL_6559-RAKOZ,Yes,No,,Male,Fiber optic,,97.95,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,49,4917.9,,,,Telecom
66,1,Month-to-month,,TEL_2636-OHFMN,No,No,,Male,DSL,,48.55,No phone service,Yes,No,Yes,Yes,Electronic check,No,,,,,0,Yes,Yes,,No,4,201,,,,Telecom
35,0,One year,,TEL_4716-MRVEN,No,No internet service,,Female,No,,20.0,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,29,599.3,,,,Telecom
30,0,Two year,,TEL_2143-LJULT,No,No internet service,,Female,No,,25.25,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,67,1733.15,,,,Telecom
25,1,Month-to-month,,TEL_1323-OOEPC,No,No,,Female,Fiber optic,,98.4,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,53,5149.5,,,,Telecom
52,0,Two year,,TEL_3200-MNQTF,No,Yes,,Male,DSL,,70.9,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,67,4677.1,,,,Telecom
28,0,Month-to-month,,TEL_6164-HXUGH,Yes,No internet service,,Female,No,,19.85,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,6,119.3,,,,Telecom
34,0,Month-to-month,,TEL_5630-IXDXV,No,Yes,,Female,Fiber optic,,106.35,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,47,4849.1,,,,Telecom
26,0,Two year,,TEL_0320-DWVTU,No,Yes,,Female,Fiber optic,,99.5,No,Yes,Yes,No,No,Mailed check,Yes,,,,,0,Yes,No,,Yes,53,5424.25,,,,Telecom
67,0,Two year,,TEL_9135-MGVPY,No,Yes,,Male,DSL,,84.7,No,Yes,Yes,Yes,Yes,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,69,5878.9,,,,Telecom
47,0,Month-to-month,,TEL_1212-GLHMD,No,No,,Male,Fiber optic,,86.05,No,No,Yes,Yes,No,Mailed check,Yes,,,,,0,Yes,No,,No,3,244.85,,,,Telecom
42,0,Month-to-month,,TEL_7878-JGDKK,No,No,,Male,DSL,,44.55,No,No,No,No,No,Mailed check,Yes,,,,,0,No,No,,No,4,220.75,,,,Telecom
48,0,Two year,,TEL_1088-AUUZZ,Yes,No,,Male,DSL,,75.85,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,No,,Yes,56,4261.2,,,,Telecom
54,1,Month-to-month,,TEL_0397-GZBBC,No,No,,Male,Fiber optic,,93.85,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,Yes,,No,59,5574.75,,,,Telecom
34,0,Two year,,TEL_6614-YWYSC,No,No internet service,,Male,No,,25.0,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,1,No internet service,No internet service,,No internet service,61,1501.75,,,,Telecom
38,0,Month-to-month,,TEL_9588-OZDMQ,No,No,,Female,DSL,,45.0,No,No,No,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,No,2,89.75,,,,Telecom
33,1,Month-to-month,,TEL_7641-EUYET,Yes,Yes,,Male,Fiber optic,,100.7,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,1,No,Yes,,No,46,4541.2,,,,Telecom
45,0,Month-to-month,,TEL_6476-EPYZR,Yes,No internet service,,Male,No,,20.5,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,12,255.5,,,,Telecom
50,1,Month-to-month,,TEL_9921-ZVRHG,No,Yes,,Female,Fiber optic,,80.45,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,14,1072,,,,Telecom
63,0,One year,,TEL_1174-FGIFN,Yes,No,,Female,Fiber optic,,90.45,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,No,,Yes,28,2509.25,,,,Telecom
36,0,Month-to-month,,TEL_6620-HVDUJ,No,No,,Male,DSL,,60.45,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,24,1440.75,,,,Telecom
20,1,Month-to-month,,TEL_4701-MLJPN,No,Yes,,Male,DSL,,55.25,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,Yes,31,1715.65,,,,Telecom
23,0,One year,,TEL_1032-MAELW,Yes,Yes,,Female,DSL,,78.45,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,Yes,No,,Yes,68,5333.35,,,,Telecom
50,0,Two year,,TEL_7641-TQFHN,Yes,No,,Male,Fiber optic,,100.55,Yes,No,No,No,No,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,39,3895.35,,,,Telecom
24,0,Month-to-month,,TEL_1552-TKMXS,No,No internet service,,Female,No,,20.35,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,42,869.9,,,,Telecom
40,1,Month-to-month,,TEL_9206-GVPEQ,No,No,,Male,DSL,,54.45,No phone service,No,Yes,Yes,Yes,Electronic check,No,,,,,0,Yes,Yes,,Yes,13,706.85,,,,Telecom
70,0,Month-to-month,,TEL_8622-ZLFKO,No,No,,Female,Fiber optic,,90.75,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,No,,No,6,512.25,,,,Telecom
54,1,Month-to-month,,TEL_1596-BBVTG,No,No,,Male,Fiber optic,,75.35,Yes,No,No,No,No,Credit card (automatic),Yes,,,,,0,No,No,,No,35,2636.05,,,,Telecom
51,0,One year,,TEL_6188-UXBBR,No,No internet service,,Female,No,,20.25,No,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,38,814.75,,,,Telecom
63,0,Two year,,TEL_2333-KWEWW,No,No internet service,,Male,No,,20.05,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,18,388.6,,,,Telecom
66,0,Month-to-month,,TEL_5702-SKUOB,No,No internet service,,Female,No,,19.6,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,4,93.45,,,,Telecom
52,0,Month-to-month,,TEL_1134-YWTYF,No,No,,Male,DSL,,53.8,No,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,Yes,27,1389.85,,,,Telecom
43,0,One year,,TEL_6061-GWWAV,Yes,Yes,,Male,DSL,,70.2,No,Yes,Yes,No,No,Mailed check,Yes,,,,,0,No,Yes,,No,41,2894.55,,,,Telecom
61,0,One year,,TEL_0679-TDGAK,Yes,No,,Male,DSL,,75.5,No,No,Yes,No,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,50,4025.6,,,,Telecom
35,0,Two year,,TEL_6585-WCEWR,Yes,No internet service,,Male,No,,20.35,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,72,1354.4,,,,Telecom
57,0,One year,,TEL_9067-YGSCA,No,No internet service,,Female,No,,26.05,Yes,No internet service,No internet service,No,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,70,1856.4,,,,Telecom
28,0,One year,,TEL_9067-SQTNS,Yes,No internet service,,Male,No,,20.6,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,44,926,,,,Telecom
52,1,Month-to-month,,TEL_8433-WXGNA,No,No,,Male,Fiber optic,,75.7,No,No,Yes,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,2,189.2,,,,Telecom
29,0,One year,,TEL_1776-SPBWV,Yes,No internet service,,Female,No,,20.1,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,34,682.1,,,,Telecom
30,0,Two year,,TEL_8735-SDUFN,No,No internet service,,Female,No,,24.3,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,1,No internet service,No internet service,,No internet service,72,1778.7,,,,Telecom
21,0,Two year,,TEL_9668-PUGNU,No,No internet service,,Male,No,,24.5,Yes,No internet service,No internet service,Yes,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,71,1816.2,,,,Telecom
36,0,Two year,,TEL_9405-GPBBG,No,Yes,,Female,Fiber optic,,110.5,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,64,7069.25,,,,Telecom
24,0,Two year,,TEL_1926-QUZNN,No,No internet service,,Female,No,,25.25,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,72,1841.2,,,,Telecom
66,1,Month-to-month,,TEL_3707-GNWHM,No,No,,Male,Fiber optic,,74.25,Yes,No,No,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,1,74.25,,,,Telecom
54,0,One year,,TEL_7016-NVRIC,No,Yes,,Male,Fiber optic,,90.1,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,No,,No,29,2656.7,,,,Telecom
53,0,One year,,TEL_5829-NVSQN,No,Yes,,Female,DSL,,68.75,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,No,,Yes,23,1689.45,,,,Telecom
44,0,Two year,,TEL_9565-AXSMR,Yes,No internet service,,Male,No,,19.2,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,52,1054.75,,,,Telecom
38,1,Month-to-month,,TEL_8922-LIEGH,No,No,,Female,Fiber optic,,89.7,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,1,Yes,No,,No,25,2187.55,,,,Telecom
41,0,Two year,,TEL_8869-LIHMK,No,Yes,,Female,Fiber optic,,115.1,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,64,7334.05,,,,Telecom
42,1,Month-to-month,,TEL_8245-UMPYT,No,No,,Female,Fiber optic,,96.4,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,16,1581.2,,,,Telecom
